,,mean,count
"(0, 4]","(0, 5]",8.887892505574683,641
"(0, 4]","(5, 15]",2.62526629387721,1686
"(0, 4]","(15, 25]",2.355941172728567,898
"(0, 4]","(25, 200]",3.8589299701642266,115
"(4, 5]","(0, 5]",4.103191278122188,4583
"(4, 5]","(5, 15]",2.241972432314496,5242
"(4, 5]","(15, 25]",2.5666544872192127,1813
"(4, 5]","(25, 200]",2.1085394433646885,354
"(5, 6]","(0, 5]",8.35237665898176,118
"(5, 6]","(5, 15]",4.63336091692733,268
"(5, 6]","(15, 25]",2.810115848419029,441
"(5, 6]","(25, 200]",2.980252138871203,334
"(6, 99]","(0, 5]",3.438133236622454,15
"(6, 99]","(5, 15]",3.438133236622454,24
"(6, 99]","(15, 25]",3.438133236622454,35
"(6, 99]","(25, 200]",19.454163083851476,105
