PROFIT ($/mm),Deal,Maturity,Coupon,Cheap (bps),Net edge,σ model,σ ens,σ total,Edge ratio,P(real),EV $/mm,1σ loss $/mm,Size ($mm)
80,LA Metro I-105,06/01/2051,5.5,8.8,3.8,6.1,2.9,7.4,0.51,70%,2931,2772,139.0
-3839,LA Metro I-105,06/01/2056,5.25,3.8,-1.2,7.1,0.8,7.8,-0.15,44%,-904,6774,105.2
-5303,NYC TFA,11/01/2047,5.25,2.0,-3.0,6.1,1.8,7.0,-0.43,33%,-2441,8164,89.1
-5375,LA Metro I-105,06/01/2046,5.0,1.1,-3.9,5.4,0.5,6.2,-0.63,26%,-2996,7754,21.4
-6045,LA Metro I-105,06/01/2038,5.0,0.5,-4.5,4.5,2.1,5.8,-0.78,22%,-3680,8409,9.7
-6392,LA Metro I-105,06/01/2037,5.0,-0.0,-5.0,4.5,0.8,5.4,-0.92,18%,-4138,8646,8.6
-6568,NYC TFA,11/01/2053,5.0,0.1,-4.9,6.2,0.6,6.9,-0.71,24%,-3845,9291,122.1
-6607,NYC TFA,11/01/2046,5.25,0.4,-4.6,6.1,1.1,6.9,-0.67,25%,-3778,9436,84.6
-6676,LA Metro I-105,06/01/2045,5.0,-0.5,-5.5,5.4,0.8,6.2,-0.88,19%,-4263,9090,19.6
-6970,NYC TFA,11/01/2054,5.5,0.3,-4.7,7.1,1.2,7.8,-0.6,27%,-3800,10140,107.8
-7104,LA Metro I-105,06/01/2034,5.0,-2.6,-7.6,4.5,0.8,5.4,-1.4,8%,-5230,8978,5.7
-7324,NYC TFA,11/01/2048,5.25,-0.6,-5.6,6.1,1.3,6.9,-0.81,21%,-4526,10122,93.9
-7746,LA Metro I-105,06/01/2036,5.0,-1.5,-6.5,4.5,1.1,5.5,-1.18,12%,-5443,10049,7.6
-7973,NYC TFA,11/01/2052,5.5,-0.9,-5.9,7.1,1.0,7.8,-0.75,23%,-4797,11150,225.7
-8268,LA Metro I-105,06/01/2044,5.0,-2.5,-7.5,5.4,0.2,6.2,-1.21,11%,-5856,10680,18.0
-8563,LA Metro I-105,06/01/2040,5.0,-3.0,-8.0,4.5,0.9,5.5,-1.46,7%,-6384,10743,12.1
-8637,LA Metro I-105,06/01/2039,5.0,-2.9,-7.9,4.5,1.5,5.6,-1.41,8%,-6379,10895,10.9
-8818,NYC TFA,11/01/2050,5.25,-2.5,-7.5,6.1,1.4,6.9,-1.08,14%,-6028,11608,203.2
-9112,LA Metro I-105,06/01/2035,5.0,-4.2,-9.2,4.5,0.6,5.4,-1.7,4%,-7039,11186,6.6
-9220,LA Metro I-105,06/01/2041,5.0,-3.9,-8.9,4.5,0.7,5.4,-1.64,5%,-7064,11375,13.5
-9245,LA Metro I-105,06/01/2042,5.0,-3.6,-8.6,5.4,0.6,6.2,-1.39,8%,-6794,11696,14.9
-9258,LA Metro I-105,06/01/2056,5.0,2.4,-2.6,6.2,1.9,7.2,-0.36,36%,-3891,14624,100.0
-10137,LA Metro I-105,06/01/2043,5.0,-4.8,-9.8,5.4,0.2,6.2,-1.59,6%,-7708,12566,16.4
