Maturity,Coupon,Amount ($),Priced To,Wire Yield,Wire Price,Model Yield,Error (bps),Model Std (bps),Confidence,Concession Used (bps)
06/01/2034,5.0,5650000,Maturity,3.57,109.595,3.5634,-0.7,0.3,high,7.6
06/01/2035,5.0,6575000,Maturity,3.67,109.866,3.6873,1.7,0.3,high,7.6
06/01/2036,5.0,7555000,Maturity,3.77,109.947,3.7727,0.3,1.4,high,7.6
06/01/2037,5.0,8600000,06/01/2036,3.9,108.84,3.8726,-2.7,0.9,high,7.6
06/01/2038,5.0,9710000,06/01/2036,4.03,107.747,4.0308,0.1,0.1,high,7.6
06/01/2039,5.0,10890000,06/01/2036,4.17,106.584,4.1889,1.9,0.5,high,7.6
06/01/2040,5.0,12145000,06/01/2036,4.3,105.518,4.3012,0.1,0.9,high,7.6
06/01/2041,5.0,13475000,06/01/2036,4.36,105.03,4.3861,2.6,0.4,high,7.6
06/01/2042,5.0,14885000,06/01/2036,4.41,104.625,4.4425,3.2,0.3,high,7.6
06/01/2043,5.0,16380000,06/01/2036,4.46,104.223,4.5008,4.1,0.7,high,7.6
06/01/2044,5.0,17965000,06/01/2036,4.54,103.583,4.5572,1.7,0.7,high,7.6
06/01/2045,5.0,19645000,06/01/2036,4.62,102.947,4.6215,0.2,1.2,high,7.6
06/01/2046,5.0,21425000,06/01/2036,4.72,102.159,4.6615,-5.8,0.3,high,7.6
06/01/2051,5.5,139025000,06/01/2036,4.92,104.439,4.8505,-6.9,2.0,high,7.6
06/01/2056,5.0,100000000,Maturity,5.11,98.319,4.9932,-11.7,1.7,high,7.6
06/01/2056,5.25,105220000,06/01/2036,5.06,101.439,4.9634,-9.7,0.4,high,7.6
