Maturity,Coupon,Amount ($),Priced To,Wire Yield,Wire Price,Model Yield,Error (bps),Deal-Rel (bps),Model Std (bps),Confidence,Concession Used (bps)
08/01/2027,5.0,5000000,Maturity,2.5,102.235,2.3148,-18.5,-11.3,0.1,CHECK,7.6
08/01/2043,5.0,65000000,08/01/2036,4.1,107.266,4.0802,-2.0,5.2,0.2,high,7.6
08/01/2050,5.0,65000000,08/01/2036,4.49,104.039,4.4078,-8.2,-1.0,0.3,high,7.6
08/01/2053,5.0,80000000,08/01/2036,4.54,103.634,4.4507,-8.9,-1.7,1.6,high,7.6
08/01/2056,5.0,85000000,08/01/2036,4.61,103.07,4.4963,-11.4,-4.2,1.6,high,7.6
08/01/2027,5.0,237500000,Maturity,2.5,102.235,2.3166,-18.3,-11.1,1.0,CHECK,7.6
08/01/2028,5.0,276365000,Maturity,2.58,104.482,2.3534,-22.7,-15.5,0.8,high,7.6
08/01/2029,5.0,305625000,Maturity,2.69,106.424,2.5382,-15.2,-8.0,1.8,high,7.6
08/01/2030,5.0,191440000,Maturity,2.83,107.978,2.6401,-19.0,-11.8,0.9,high,7.6
08/01/2031,5.0,281005000,Maturity,2.93,109.401,2.7442,-18.6,-11.4,1.7,high,7.6
08/01/2031,4.0,19280000,Maturity,2.93,104.859,2.8113,-11.9,-4.7,2.0,high,7.6
08/01/2032,5.0,160660000,Maturity,3.03,110.585,2.8419,-18.8,-11.6,1.6,high,7.6
08/01/2033,5.0,140215000,Maturity,3.13,111.538,2.9315,-19.8,-12.6,1.2,high,7.6
08/01/2034,5.0,169710000,Maturity,3.26,112.044,3.0652,-19.5,-12.3,1.2,high,7.6
08/01/2034,4.0,16475000,Maturity,3.32,104.694,3.1997,-12.0,-4.8,1.7,high,7.6
08/01/2035,5.0,152210000,Maturity,3.35,112.618,3.1616,-18.8,-11.6,0.5,high,7.6
08/01/2035,4.0,2020000,Maturity,3.42,104.42,3.3334,-8.7,-1.5,1.2,high,7.6
08/01/2036,5.0,72510000,Maturity,3.45,112.914,3.2669,-18.3,-11.1,1.2,high,7.6
08/01/2037,5.0,107560000,Maturity,3.6,112.537,3.4176,-18.2,-11.0,1.2,high,7.6
08/01/2037,5.0,74605000,08/01/2036,3.58,111.757,3.4775,-10.3,-3.1,0.7,high,7.6
08/01/2037,4.0,1890000,08/01/2036,3.67,102.718,3.7958,12.6,19.8,1.7,high,7.6
08/01/2038,5.0,39205000,08/01/2036,3.68,110.876,3.6842,0.4,7.6,1.1,high,7.6
08/01/2046,5.0,246455000,08/01/2036,4.31,105.514,4.2487,-6.1,1.1,1.0,high,7.6
08/01/2046,4.25,50000000,Maturity,4.43,97.631,4.473,4.3,11.5,0.3,high,7.6
